,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,gender
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,male
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,female
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,female
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,female
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,male
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,male
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,male
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,female
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,female
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,female
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,female
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,male
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,female
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,female
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,male
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,male
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,female
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,female
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,male
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,male
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,female
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,male
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,female
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,female
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,male
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,male
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,female
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,male
